i,j,lb,ub,NC,RFr,RSr,gap
25,1,93.00,96.8352461,1.80,0.75,0.20,0.0412000
25,2,75.00,79.3224732,1.80,0.75,0.20,0.0576000
25,3,76.00,81.2619750,1.80,0.75,0.20,0.0692000
25,4,81.00,84.8772118,1.80,0.75,0.20,0.0479000
25,5,72.00,76.0218063,1.80,0.75,0.20,0.0559000
25,6,58.00,64.1079510,1.80,0.75,0.20,0.1053000
25,7,95.00,99.1064106,1.80,0.75,0.20,0.0432000
25,8,69.00,73.8040747,1.80,0.75,0.20,0.0696000
25,9,84.00,88.8209423,1.80,0.75,0.20,0.0574000
25,10,58.00,61.4936287,1.80,0.75,0.20,0.0602000
26,1,59.00,62.4044508,1.80,0.75,0.50,0.0577000
26,2,40.00,42.7709323,1.80,0.75,0.50,0.0693000
26,3,58.00,61.4245730,1.80,0.75,0.50,0.0590000
26,4,62.00,66.9694319,1.80,0.75,0.50,0.0802000
26,5,74.00,78.6332825,1.80,0.75,0.50,0.0626000
26,6,53.00,56.8700689,1.80,0.75,0.50,0.0730000
26,7,56.00,59.8781032,1.80,0.75,0.50,0.0693000
26,8,66.00,68.8908394,1.80,0.75,0.50,0.0438000
26,9,43.00,47.4034035,1.80,0.75,0.50,0.1024000
26,10,49.00,53.7866054,1.80,0.75,0.50,0.0977000
27,1,43.00,47.0342832,1.80,0.75,0.70,0.0938000
27,2,58.00,60.0761520,1.80,0.75,0.70,0.0358000
27,3,60.00,62.8648179,1.80,0.75,0.70,0.0478000
27,4,64.00,65.9437663,1.80,0.75,0.70,0.0304000
27,5,49.00,54.2493698,1.80,0.75,0.70,0.1071000
27,6,59.00,63.3916901,1.80,0.75,0.70,0.0744000
27,7,49.00,53.3886382,1.80,0.75,0.70,0.0896000
27,8,66.00,68.4445777,1.80,0.75,0.70,0.0370000
27,9,55.00,58.2041311,1.80,0.75,0.70,0.0583000
27,10,62.00,64.5912951,1.80,0.75,0.70,0.0418000
28,1,69.00,69.6186684,1.80,0.75,1.00,0.0090000
28,2,57.00,57.5010547,1.80,0.75,1.00,0.0088000
28,3,40.00,43.7837365,1.80,0.75,1.00,0.0946000
28,4,49.00,49.7430979,1.80,0.75,1.00,0.0152000
28,5,73.00,76.1612255,1.80,0.75,1.00,0.0433000
28,6,55.00,57.4636324,1.80,0.75,1.00,0.0448000
28,7,48.00,49.7992773,1.80,0.75,1.00,0.0375000
28,8,53.00,54.8447768,1.80,0.75,1.00,0.0348000
28,9,62.00,65.9809896,1.80,0.75,1.00,0.0642000
28,10,59.00,59.2446122,1.80,0.75,1.00,0.0042000
29,1,85.00,91.6263105,1.80,1.00,0.20,0.0780000
29,2,90.00,94.6199341,1.80,1.00,0.20,0.0513000
29,3,78.00,83.2477689,1.80,1.00,0.20,0.0673000
29,4,103.00,108.2460728,1.80,1.00,0.20,0.0509000
29,5,98.00,102.6077452,1.80,1.00,0.20,0.0470000
29,6,92.00,97.7314991,1.80,1.00,0.20,0.0623000
29,7,73.00,77.1411855,1.80,1.00,0.20,0.0567000
29,8,80.00,86.0970246,1.80,1.00,0.20,0.0762000
29,9,97.00,103.6111365,1.80,1.00,0.20,0.0682000
29,10,76.00,79.5722978,1.80,1.00,0.20,0.0470000
30,1,47.00,51.4028025,1.80,1.00,0.50,0.0937000
30,2,68.00,73.8907774,1.80,1.00,0.50,0.0866000
30,3,55.00,59.4202610,1.80,1.00,0.50,0.0804000
30,4,53.00,58.2427447,1.80,1.00,0.50,0.0989000
30,5,54.00,59.2695235,1.80,1.00,0.50,0.0976000
30,6,62.00,66.6829737,1.80,1.00,0.50,0.0755000
30,7,68.00,74.2070043,1.80,1.00,0.50,0.0913000
30,8,46.00,50.6253048,1.80,1.00,0.50,0.1006000
30,9,46.00,51.6363049,1.80,1.00,0.50,0.1225000
30,10,53.00,57.2460544,1.80,1.00,0.50,0.0801000
31,1,43.00,44.2227838,1.80,1.00,0.70,0.0284000
31,2,63.00,64.4381746,1.80,1.00,0.70,0.0228000
31,3,58.00,62.1781200,1.80,1.00,0.70,0.0720000
31,4,50.00,51.1717276,1.80,1.00,0.70,0.0234000
31,5,52.00,56.3777771,1.80,1.00,0.70,0.0842000
31,6,53.00,56.9854741,1.80,1.00,0.70,0.0752000
31,7,61.00,66.2757323,1.80,1.00,0.70,0.0865000
31,8,58.00,62.1845915,1.80,1.00,0.70,0.0722000
31,9,50.00,54.3701511,1.80,1.00,0.70,0.0874000
31,10,55.00,60.1633812,1.80,1.00,0.70,0.0939000
32,1,61.00,61.6978999,1.80,1.00,1.00,0.0114000
32,2,60.00,62.0891740,1.80,1.00,1.00,0.0348000
32,3,57.00,60.7265367,1.80,1.00,1.00,0.0654000
32,4,68.00,72.3739917,1.80,1.00,1.00,0.0643000
32,5,54.00,57.0433505,1.80,1.00,1.00,0.0564000
32,6,44.00,45.8266228,1.80,1.00,1.00,0.0415000
32,7,35.00,37.8051816,1.80,1.00,1.00,0.0802000
32,8,54.00,56.7558657,1.80,1.00,1.00,0.0510000
32,9,65.00,66.8482964,1.80,1.00,1.00,0.0284000
32,10,51.00,53.6069203,1.80,1.00,1.00,0.0511000
33,1,65.00,69.2419272,2.10,0.25,0.20,0.0653000
33,2,60.00,62.3886728,2.10,0.25,0.20,0.0398000
33,3,55.00,58.6200758,2.10,0.25,0.20,0.0658000
33,4,77.00,79.9063566,2.10,0.25,0.20,0.0377000
33,5,53.00,55.5472040,2.10,0.25,0.20,0.0481000
33,6,59.00,61.3669294,2.10,0.25,0.20,0.0401000
33,7,58.00,60.1337458,2.10,0.25,0.20,0.0368000
33,8,61.00,61.8232920,2.10,0.25,0.20,0.0135000
33,9,65.00,67.9889494,2.10,0.25,0.20,0.0460000
33,10,53.00,55.1800904,2.10,0.25,0.20,0.0411000
34,1,68.00,72.0296223,2.10,0.25,0.50,0.0593000
34,2,44.00,46.1492322,2.10,0.25,0.50,0.0489000
34,3,69.00,70.6144090,2.10,0.25,0.50,0.0234000
34,4,67.00,67.6584732,2.10,0.25,0.50,0.0098000
34,5,63.00,64.1057934,2.10,0.25,0.50,0.0176000
34,6,52.00,54.5235136,2.10,0.25,0.50,0.0485000
34,7,58.00,59.8030174,2.10,0.25,0.50,0.0311000
34,8,58.00,59.9737697,2.10,0.25,0.50,0.0340000
34,9,60.00,61.7672386,2.10,0.25,0.50,0.0295000
34,10,47.00,50.1551809,2.10,0.25,0.50,0.0671000
35,1,57.00,59.2688483,2.10,0.25,0.70,0.0398000
35,2,53.00,54.2730451,2.10,0.25,0.70,0.0240000
35,3,60.00,61.7698445,2.10,0.25,0.70,0.0295000
35,4,50.00,52.3002390,2.10,0.25,0.70,0.0460000
35,5,60.00,61.3650585,2.10,0.25,0.70,0.0228000
35,6,58.00,58.6587859,2.10,0.25,0.70,0.0114000
35,7,61.00,63.6619823,2.10,0.25,0.70,0.0436000
35,8,63.00,65.0637653,2.10,0.25,0.70,0.0328000
35,9,59.00,61.8336401,2.10,0.25,0.70,0.0480000
35,10,59.00,60.1309827,2.10,0.25,0.70,0.0192000
36,1,66.00,66.5983751,2.10,0.25,1.00,0.0091000
36,2,44.00,45.6983046,2.10,0.25,1.00,0.0386000
36,3,61.00,61.0862303,2.10,0.25,1.00,0.0014000
36,4,59.00,60.4413893,2.10,0.25,1.00,0.0244000
36,5,64.00,64.8784975,2.10,0.25,1.00,0.0137000
36,6,46.00,48.1600208,2.10,0.25,1.00,0.0470000
36,7,56.00,58.7875404,2.10,0.25,1.00,0.0498000
36,8,63.00,64.5591527,2.10,0.25,1.00,0.0248000
36,9,59.00,61.2369958,2.10,0.25,1.00,0.0379000
36,10,59.00,59.4615455,2.10,0.25,1.00,0.0078000
37,1,79.00,82.4955073,2.10,0.50,0.20,0.0443000
37,2,69.00,71.5190474,2.10,0.50,0.20,0.0365000
37,3,81.00,84.6340496,2.10,0.50,0.20,0.0449000
37,4,83.00,86.8433899,2.10,0.50,0.20,0.0463000
37,5,80.00,85.5870849,2.10,0.50,0.20,0.0698000
37,6,73.00,76.4202294,2.10,0.50,0.20,0.0469000
37,7,92.00,94.5183947,2.10,0.50,0.20,0.0274000
37,8,72.00,77.2710945,2.10,0.50,0.20,0.0732000
37,9,57.00,59.8450960,2.10,0.50,0.20,0.0499000
37,10,81.00,83.6119139,2.10,0.50,0.20,0.0323000
38,1,48.00,51.7610657,2.10,0.50,0.50,0.0784000
38,2,54.00,57.2772386,2.10,0.50,0.50,0.0607000
38,3,59.00,62.1461953,2.10,0.50,0.50,0.0533000
38,4,59.00,62.3399528,2.10,0.50,0.50,0.0566000
38,5,71.00,75.9644061,2.10,0.50,0.50,0.0699000
38,6,63.00,66.7363329,2.10,0.50,0.50,0.0593000
38,7,65.00,67.8650138,2.10,0.50,0.50,0.0441000
38,8,61.00,65.0888284,2.10,0.50,0.50,0.0670000
38,9,63.00,66.8544662,2.10,0.50,0.50,0.0612000
38,10,60.00,63.6816826,2.10,0.50,0.50,0.0614000
39,1,55.00,56.3626095,2.10,0.50,0.70,0.0248000
39,2,54.00,56.4535043,2.10,0.50,0.70,0.0454000
39,3,54.00,58.1811626,2.10,0.50,0.70,0.0774000
39,4,53.00,55.8908722,2.10,0.50,0.70,0.0545000
39,5,55.00,59.0070448,2.10,0.50,0.70,0.0729000
39,6,69.00,73.0298261,2.10,0.50,0.70,0.0584000
39,7,56.00,56.6424063,2.10,0.50,0.70,0.0115000
39,8,67.00,68.3176877,2.10,0.50,0.70,0.0197000
39,9,64.00,67.9231135,2.10,0.50,0.70,0.0613000
39,10,60.00,62.4279982,2.10,0.50,0.70,0.0405000
40,1,51.00,54.4265039,2.10,0.50,1.00,0.0672000
40,2,56.00,57.2498578,2.10,0.50,1.00,0.0223000
40,3,57.00,58.4777130,2.10,0.50,1.00,0.0259000
40,4,57.00,59.7709156,2.10,0.50,1.00,0.0486000
40,5,65.00,67.1618461,2.10,0.50,1.00,0.0333000
40,6,60.00,61.6750086,2.10,0.50,1.00,0.0279000
40,7,46.00,47.8150490,2.10,0.50,1.00,0.0395000
40,8,57.00,60.2435364,2.10,0.50,1.00,0.0569000
40,9,64.00,65.5158658,2.10,0.50,1.00,0.0237000
40,10,51.00,54.4047234,2.10,0.50,1.00,0.0668000
41,1,86.00,90.1309424,2.10,0.75,0.20,0.0480000
41,2,89.00,91.6096703,2.10,0.75,0.20,0.0293000
41,3,85.00,87.6617972,2.10,0.75,0.20,0.0313000
41,4,78.00,81.8782089,2.10,0.75,0.20,0.0497000
41,5,99.00,103.4645460,2.10,0.75,0.20,0.0451000
41,6,103.00,104.5733172,2.10,0.75,0.20,0.0153000
41,7,92.00,95.4011383,2.10,0.75,0.20,0.0370000
41,8,88.00,91.9579294,2.10,0.75,0.20,0.0450000
41,9,92.00,95.5751288,2.10,0.75,0.20,0.0389000
41,10,99.00,101.9790728,2.10,0.75,0.20,0.0301000
42,1,58.00,62.0087615,2.10,0.75,0.50,0.0691000
42,2,50.00,55.1302690,2.10,0.75,0.50,0.1026000
42,3,60.00,64.0419288,2.10,0.75,0.50,0.0674000
42,4,49.00,52.3478744,2.10,0.75,0.50,0.0683000
42,5,52.00,55.0212804,2.10,0.75,0.50,0.0581000
42,6,66.00,70.6039636,2.10,0.75,0.50,0.0698000
42,7,66.00,70.0198768,2.10,0.75,0.50,0.0609000
42,8,82.00,86.0658547,2.10,0.75,0.50,0.0496000
42,9,60.00,65.4528129,2.10,0.75,0.50,0.0909000
42,10,75.00,77.7785653,2.10,0.75,0.50,0.0371000
43,1,55.00,58.0589891,2.10,0.75,0.70,0.0556000
43,2,43.00,46.5062635,2.10,0.75,0.70,0.0815000
43,3,57.00,61.5807214,2.10,0.75,0.70,0.0804000
43,4,67.00,69.2847394,2.10,0.75,0.70,0.0341000
43,5,64.00,68.9834795,2.10,0.75,0.70,0.0779000
43,6,58.00,62.0792784,2.10,0.75,0.70,0.0703000
43,7,52.00,55.9037247,2.10,0.75,0.70,0.0751000
43,8,62.00,66.0067921,2.10,0.75,0.70,0.0646000
43,9,57.00,61.4232479,2.10,0.75,0.70,0.0776000
43,10,60.00,63.4790798,2.10,0.75,0.70,0.0580000
44,1,50.00,50.6627364,2.10,0.75,1.00,0.0133000
44,2,54.00,57.1284708,2.10,0.75,1.00,0.0579000
44,3,51.00,52.5651958,2.10,0.75,1.00,0.0307000
44,4,57.00,61.1618911,2.10,0.75,1.00,0.0730000
44,5,55.00,57.5342448,2.10,0.75,1.00,0.0461000
44,6,56.00,56.4088752,2.10,0.75,1.00,0.0073000
44,7,42.00,45.6405844,2.10,0.75,1.00,0.0867000
44,8,49.00,52.2649705,2.10,0.75,1.00,0.0666000
44,9,64.00,64.8095852,2.10,0.75,1.00,0.0127000
44,10,63.00,64.8577431,2.10,0.75,1.00,0.0295000
45,1,82.00,86.4839651,2.10,1.00,0.20,0.0547000
45,2,125.00,126.5065039,2.10,1.00,0.20,0.0121000
45,3,92.00,94.3883993,2.10,1.00,0.20,0.0260000
45,4,84.00,88.4204599,2.10,1.00,0.20,0.0526000
45,5,86.00,89.3760443,2.10,1.00,0.20,0.0393000
45,6,129.00,132.7799645,2.10,1.00,0.20,0.0393000
45,7,101.00,105.6404422,2.10,1.00,0.20,0.0459000
45,8,94.00,95.6683704,2.10,1.00,0.20,0.0178000
45,9,82.00,86.3566497,2.10,1.00,0.20,0.0531000
45,10,90.00,94.1496499,2.10,1.00,0.20,0.0461000
46,1,59.00,64.4893497,2.10,1.00,0.50,0.0930000
46,2,67.00,72.8234940,2.10,1.00,0.50,0.0869000
46,3,65.00,70.0621510,2.10,1.00,0.50,0.0779000
46,4,64.00,69.2820830,2.10,1.00,0.50,0.0825000
46,5,57.00,63.4085821,2.10,1.00,0.50,0.1124000
46,6,59.00,64.3004409,2.10,1.00,0.50,0.0898000
46,7,59.00,63.5515610,2.10,1.00,0.50,0.0772000
46,8,58.00,63.8365654,2.10,1.00,0.50,0.1006000
46,9,49.00,53.9168744,2.10,1.00,0.50,0.1003000
46,10,55.00,59.0836178,2.10,1.00,0.50,0.0743000
47,1,58.00,62.3588236,2.10,1.00,0.70,0.0752000
47,2,59.00,61.0399122,2.10,1.00,0.70,0.0346000
47,3,55.00,59.1697397,2.10,1.00,0.70,0.0758000
47,4,49.00,54.6502725,2.10,1.00,0.70,0.1153000
47,5,47.00,50.8041274,2.10,1.00,0.70,0.0809000
47,6,53.00,58.5990712,2.10,1.00,0.70,0.1056000
47,7,66.00,69.1488164,2.10,1.00,0.70,0.0477000
47,8,48.00,51.2705342,2.10,1.00,0.70,0.0681000
47,9,65.00,70.0550613,2.10,1.00,0.70,0.0778000
47,10,60.00,65.4885352,2.10,1.00,0.70,0.0915000
48,1,63.00,64.2354691,2.10,1.00,1.00,0.0196000
48,2,54.00,55.7864679,2.10,1.00,1.00,0.0331000
48,3,50.00,52.0323403,2.10,1.00,1.00,0.0407000
48,4,57.00,59.8966080,2.10,1.00,1.00,0.0508000
48,5,58.00,61.2181423,2.10,1.00,1.00,0.0555000
48,6,58.00,59.4208258,2.10,1.00,1.00,0.0245000
48,7,55.00,56.7786936,2.10,1.00,1.00,0.0323000
48,8,44.00,46.3094159,2.10,1.00,1.00,0.0525000
48,9,59.00,62.1667001,2.10,1.00,1.00,0.0537000
48,10,54.00,55.8973022,2.10,1.00,1.00,0.0351000